"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест 1: Создание уникального пользователя → 200","1","test_create_unique_user","tests","2026-08-16","passed","2026-08-16","TestCreateUser","test_user","",""
"Тест 1: Вход под существующим пользователем → 200","1124","test_login_existing_user","tests","2026-08-16","passed","2026-08-16","TestLoginUser","test_login","",""
"Тест 3: Создание пользователя без обязательного поля → 403","913","test_create_user_without_field[name]","tests","2026-08-16","passed","2026-08-16","TestCreateUser","test_user","",""
"Тест 3: Создание пользователя без обязательного поля → 403","870","test_create_user_without_field[email]","tests","2026-08-16","passed","2026-08-16","TestCreateUser","test_user","",""
"","873","test_create_order_with_ingredients","tests","2026-08-16","passed","2026-08-16","TestCreateOrder","test_orders","",""
"Тест 2: Создание уже зарегистрированного пользователя → 403","1837","test_create_existing_user","tests","2026-08-16","passed","2026-08-16","TestCreateUser","test_user","",""
"","974","test_create_order_without_auth","tests","2026-08-16","passed","2026-08-16","TestCreateOrder","test_orders","",""
"","880","test_create_order_without_ingredients","tests","2026-08-16","passed","2026-08-16","TestCreateOrder","test_orders","",""
"Тест 1: Создание заказа с авторизацией → 200","4365","test_create_order_with_auth","tests","2026-08-16","passed","2026-08-16","TestCreateOrder","test_orders","",""
"Тест 2: Вход с неверным логином и паролем → 401","1682","test_login_invalid_credentials","tests","2026-08-16","passed","2026-08-16","TestLoginUser","test_login","",""
"","1987","test_create_order_invalid_hash","tests","2026-08-16","failed","2026-08-16","TestCreateOrder","test_orders","",""
"Тест 3: Создание пользователя без обязательного поля → 403","878","test_create_user_without_field[password]","tests","2026-08-16","passed","2026-08-16","TestCreateUser","test_user","",""
